レギンス,Leggings,革・鉄・金・ダイヤモンドなどの種類がある。素材によって防御力が違う。
ブーツ,Boots,革・鉄・金・ダイヤモンドなどの種類がある。素材によって防御力が違う。
トロッコ,Minecart,レールにそって走行できる。プレイヤーが乗ることも可能。
動力付きトロッコ,Poewred Minecart,他のトロッコを押してくれる頼れる奴。
木箱付きトロッコ,Strage Minecart,アイテムを格納できるナイスな奴。
レール,Minecart Tracks,線路とも言う。これがなければトロッコは走らない。
パワードレール,Powered Rail,レッドストーン入力があるとトロッコが加速する。
ディテクターレール,Detector Rail,トロッコが通るとレッドストーン出力
ボート,Boat,恐ろしい程の耐久力が自慢です。
ドア,Door,レッドストーン入力があると開く、感圧スイッチを併用することで自動ドアが可能。
トラップドア,Trapdoor,上下の開閉が出来るドア。
フェンスゲート,Fence Gate,開閉が出来るフェンス。
感圧式スイッチ,Pressure Plates,プレイヤー、Mob等が上に乗るとレッドストーン出力
ボタン,Button,押したくなるスイッチ、一定時間有効
レバー,Lever,ON・OFFのスイッチ、ドアやレッドストーン回路のスイッチとして使う。
レッドストーントーチ,Redstone Torch,レッドストーン出力、レッドストーン回路を作るのに必須
レッドストーンリピーター,Redstone Repeater,レッドストーン出力を延長、遅延出来る。
ジュークボックス,Jukebox,レコードを再生出来る。
音符ブロック,Note Block,レッドストーン入力で音が出る。
ディスペンサー,Dispenser,レッドストーン入力があると中に格納したアイテムを１つ吐き出す。
ピストン,Piston,レッドストーン入力があるとピストンの向いてる方向に１マス押し出す。隠し扉などに使える。
粘着ピストン,Sticky Piston,基本的動作は一緒だか、ブロックを吸着する特性がある。
レッドストーンランプ,Redstone Lamp,レッドストーン入力があると松明の代わりになる。ルームランプにいかが？
ボウル,Bowls,キノコシチューを作ることしか能が無い、ただのボウルですな。
クッキー,Cookie,青い化物が大好きな食べ物
キノコシチュー,Mushroom Stew,地下生活の主食
パン,Bread,農業生活の主食
金のリンゴ,Golden Apple,禁断の果実
砂糖,Sugar,ケーキの材料、あるメイドはこれが大好きだと聞くが・・・
ケーキ,Cake,誕生日やお祝いごと、契約に使われる。
調合台,Brewing Stand,様々なポーションを作るのに必須。
ガラス瓶,Glass Bottle,ポーションを入れる容器
大釜,Grid Cauldron,水を貯められる。無限水源があった場合インテリアとして使うしか無い。
マグマクリーム,Magma Cream,ポーションの材料
ブレイズパウダー,Blaze Powder,ポーションの材料
醗酵したクモの目,Fermented Spider Eye,ポーションの材料
きらめくスイカ,glisteringMelon,ポーションの材料
赤色染料,Rose Red,染料、羊毛に着色出来る。
橙色染料,Orange Dye,染料、羊毛に着色出来る。
黄色染料,Dandelion Yellow,染料、羊毛に着色出来る。
黄緑色染料,Lime Dye,染料、羊毛に着色出来る。
水色染料,Cyan Dye,染料、羊毛に着色出来る。
空色染料,Light Blue Dye,染料、羊毛に着色出来る。
紫色染料,Purple Dye,染料、羊毛に着色出来る。
赤紫色染料,Magenta Dye,染料、羊毛に着色出来る。
桃色染料,Pink Dye,染料、羊毛に着色出来る。
薄灰色染料,Light Gray Dye,染料、羊毛に着色出来る。
灰色染料,Gray Dye,染料、羊毛に着色出来る。
エンチャントテーブル,Enchantment Table,道具、武具にエンチャントする事が出来る。周囲に本棚があると協力なエンチャントが出来る。
金塊,Gold Nugget,金のリンゴの作成などに使える。
絵画,Painting,壁に設置することでインテリアにどうぞ。
看板,Sign,文字を入力することが出来る。なぜか、水、溶岩を遮断出来る。
はしご,Ladder,設置することで壁面を登ることが出来る。
紙,Paper,本、マップ作成時に必要
本,Book,エンチャントテーブル、本棚を作成時に必要
フェンス,Fence,動物の放牧にどうぞ、プレイヤーの落下防止にも役に立つ　火気厳禁
ネザーレンガフェンス,Nether Brick Fence,フェンスと基本同じだが、燃えない。
鉄格子,Iron Bar,フェンスよりも高さがある。
板ガラス,Glass Pane,薄いガラス、窓にどうぞ。
骨粉,Bone Meal,肥料として使う、各種作物、木、キノコなどに有効。
スイカの種,Melon Seeds,農地に植えるとスイカが実る
カボチャの種,Pumpkin Seeds,農地に植えるとカボチャが実る
エンダーアイ,Eye of Ender,エンダーポータルに使用する。投げると砦方向に向かってゆく。
